title,price_including_tax,availability,upc,category
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock (16 available),57e5a4d515c8ce44,Sequential Art,https://books.toscrape.com/media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,In stock (16 available),8d4eefad7a2b3915,Sequential Art,https://books.toscrape.com/media/cache/58/e2/58e2097169e92a95d973da420ce7cc98.jpg
I am a Hero Omnibus Volume 1,Â£54.63,In stock (16 available),1c89ae5bb804e4de,Sequential Art,https://books.toscrape.com/media/cache/f7/4d/f74db5141becf01083abc03c078f4922.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,In stock (16 available),f2df3bb043a8abb0,Sequential Art,https://books.toscrape.com/media/cache/d0/6f/d06ff4e3b9daf93b18bb21f1af19b5eb.jpg
Danganronpa Volume 1,Â£51.99,In stock (16 available),09b6cc87e62c2c58,Sequential Art,https://books.toscrape.com/media/cache/ce/39/ce3942d9a10b6a17805136ace7c140fa.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,In stock (16 available),8754c83ab2a7ae71,Sequential Art,https://books.toscrape.com/media/cache/ed/a5/eda54d1bfcdd39488013f7aae1eaf659.jpg
Camp Midnight,Â£17.08,In stock (16 available),7b599c8bfcdd8d30,Sequential Art,https://books.toscrape.com/media/cache/7a/67/7a671ecf69cdcd2ea9ebe85da1b5585f.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,In stock (16 available),bdf415fd484ea8a7,Sequential Art,https://books.toscrape.com/media/cache/9d/1d/9d1d68362670066b155936e37d61bc5b.jpg
The Shadow Hero (The Shadow Hero),Â£33.14,In stock (15 available),d6361d16212664ed,Sequential Art,https://books.toscrape.com/media/cache/c3/d2/c3d2356443efca9bcad78eba8d249fc1.jpg
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,In stock (15 available),65d034adf80834b7,Sequential Art,https://books.toscrape.com/media/cache/51/e4/51e472da0b7be65921345af6d4ca9e51.jpg
Batman: The Long Halloween (Batman),Â£36.50,In stock (15 available),7edc0527cf782e19,Sequential Art,https://books.toscrape.com/media/cache/26/a6/26a6c3227af69348c542bc4e094279a4.jpg
Batman: The Dark Knight Returns (Batman),Â£15.38,In stock (15 available),47271d8e08b5d31c,Sequential Art,https://books.toscrape.com/media/cache/1e/38/1e381319aaf7cf69c27a5171520d53fe.jpg
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,In stock (14 available),047097293bb4d1c0,Sequential Art,https://books.toscrape.com/media/cache/b6/6a/b66a733a0fd2c0ed2cffaf5d2d9dd146.jpg
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â£53.90,In stock (14 available),92275cedf6d8ee15,Sequential Art,https://books.toscrape.com/media/cache/3e/61/3e611e2228ffe66b05f202cd3da0359c.jpg
Through the Woods,Â£25.38,In stock (14 available),6e44bcbeac7f4360,Sequential Art,https://books.toscrape.com/media/cache/ac/07/ac07aa5cfd42e6192bb801a749263bba.jpg
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,In stock (14 available),ac8e3949d284e9a9,Sequential Art,https://books.toscrape.com/media/cache/31/32/3132ce8535ec612bf8588a5bc62998d4.jpg
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,In stock (14 available),394f6d30cafc3edb,Sequential Art,https://books.toscrape.com/media/cache/53/ea/53ead08572cc44510da38edf559722d1.jpg
Robin War,Â£47.82,In stock (14 available),85b2176b3b194030,Sequential Art,https://books.toscrape.com/media/cache/08/e3/08e3fff11713d162620c920a2574e149.jpg
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â£25.48,In stock (14 available),31e2e2d9cca3778f,Sequential Art,https://books.toscrape.com/media/cache/7a/23/7a2319e460168eff8d91828ff380849c.jpg
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â£38.39,In stock (14 available),71e36f33981ddb74,Sequential Art,https://books.toscrape.com/media/cache/0b/b8/0bb8bd42d6b58c7966ba67472a55f905.jpg
Lowriders to the Center of the Earth (Lowriders in Space #2),Â£51.51,In stock (14 available),a10c7515834240f3,Sequential Art,https://books.toscrape.com/media/cache/30/d0/30d033fe3d7be21522498ce2b30d58d6.jpg
El Deafo,Â£57.62,In stock (14 available),27c5968fe43cc06e,Sequential Art,https://books.toscrape.com/media/cache/95/4b/954b63f24b0e4c1c5ce494b33f694b73.jpg
Batman: Europa,Â£32.01,In stock (14 available),bf68dcb5fad3cc8c,Sequential Art,https://books.toscrape.com/media/cache/dc/f7/dcf7314eb8526366ae9179d1f94bc78e.jpg
Art Ops Vol. 1,Â£48.80,In stock (14 available),ffdc825785c0ede8,Sequential Art,https://books.toscrape.com/media/cache/36/36/3636bc73e33a70300d8265667373d622.jpg
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Â£10.90,In stock (14 available),5319169a72714c62,Sequential Art,https://books.toscrape.com/media/cache/bd/b8/bdb8adf93cb0a6778930ccd543dd9b37.jpg
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Â£33.95,In stock (9 available),97187f5cf0385da3,Sequential Art,https://books.toscrape.com/media/cache/3f/97/3f97ab9d27352e8dd24671c945b1c5ac.jpg
Roller Girl,Â£14.10,In stock (8 available),aeb51dfbe8aeec59,Sequential Art,https://books.toscrape.com/media/cache/cf/cf/cfcfb88039ddab7d4ae399246529e401.jpg
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Â£19.57,In stock (7 available),de6d7645f192d517,Sequential Art,https://books.toscrape.com/media/cache/c3/36/c3366ab246bf5e4baec15cdf55915b69.jpg
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Â£20.96,In stock (6 available),97258f576d4bb672,Sequential Art,https://books.toscrape.com/media/cache/cd/b5/cdb5bd3a70cd857879120b4a90192bda.jpg
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Â£36.39,In stock (6 available),6e06d0f00f6da20f,Sequential Art,https://books.toscrape.com/media/cache/c7/11/c7117547293ca3bb7a6a78e6603f2f8e.jpg
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Â£16.33,In stock (5 available),3fd83dcf37bf1bc0,Sequential Art,https://books.toscrape.com/media/cache/8e/25/8e259f84683adbaa30452df5aaa142b3.jpg
"Death Note, Vol. 5: Whiteout (Death Note #5)",Â£52.41,In stock (5 available),1c0a38899c82b60a,Sequential Art,https://books.toscrape.com/media/cache/93/d9/93d98563d32936ffd8db2c19f7857478.jpg
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Â£27.88,In stock (4 available),df53c2948b32bde3,Sequential Art,https://books.toscrape.com/media/cache/20/99/20995345e7a87cdfb4503283ae991e84.jpg
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Â£50.44,In stock (4 available),8fff1084aa085a13,Sequential Art,https://books.toscrape.com/media/cache/77/0b/770bf7bcb38eaacc6a9392dd0b7af1e4.jpg
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Â£14.41,In stock (3 available),a33ed2e6068df53e,Sequential Art,https://books.toscrape.com/media/cache/33/cb/33cb44fb2984e4d09dc2263c50b36927.jpg
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Â£55.55,In stock (3 available),91eb9605998a7c03,Sequential Art,https://books.toscrape.com/media/cache/df/96/df96b9a9739d2421620bfb3622f3c2d0.jpg
"Saga, Volume 3 (Saga (Collected Editions) #3)",Â£21.57,In stock (3 available),7b870bf85d01c2dc,Sequential Art,https://books.toscrape.com/media/cache/55/89/5589eb7a8127d04add1c4205186d91d4.jpg
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Â£43.63,In stock (3 available),9707989a439757b4,Sequential Art,https://books.toscrape.com/media/cache/1b/8b/1b8b733db667fc3a7bbca0d65fa078f1.jpg
Persepolis: The Story of a Childhood (Persepolis #1-2),Â£39.13,In stock (3 available),cb62418129b864a3,Sequential Art,https://books.toscrape.com/media/cache/9d/5f/9d5f4a231a2ee898ed76f603b3e40163.jpg
Original Fake,Â£31.45,In stock (3 available),c59283b05905c853,Sequential Art,https://books.toscrape.com/media/cache/39/99/3999845b6800427aad3d45041586a171.jpg
"Grayson, Vol 3: Nemesis (Grayson #3)",Â£42.72,In stock (3 available),4f6985aca357ae09,Sequential Art,https://books.toscrape.com/media/cache/a9/10/a9105d5dbdc6a339c21d6635b3dc1697.jpg
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Â£45.17,In stock (3 available),d5f5a122a593b580,Sequential Art,https://books.toscrape.com/media/cache/85/d2/85d2821dbc2d274f516582449199015e.jpg
"Black Butler, Vol. 1 (Black Butler #1)",Â£49.31,In stock (3 available),15f415d436888b2d,Sequential Art,https://books.toscrape.com/media/cache/86/bb/86bb13ef73474e6e96acea6e5ff44231.jpg
Awkward,Â£38.02,In stock (3 available),1d89a2aa9f6ce50f,Sequential Art,https://books.toscrape.com/media/cache/71/82/718278fb0edaa50e1f1930cdd2048d87.jpg
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Â£54.81,In stock (2 available),276dc716b1da8899,Sequential Art,https://books.toscrape.com/media/cache/b3/48/b3481a7849a7d98131ced57476bb2f26.jpg
"Saga, Volume 2 (Saga (Collected Editions) #2)",Â£11.75,In stock (2 available),9189fd009df41d0e,Sequential Art,https://books.toscrape.com/media/cache/bd/1e/bd1e9e86b838676121bc4954ab40712a.jpg
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Â£11.64,In stock (2 available),c0db71f6bb14db11,Sequential Art,https://books.toscrape.com/media/cache/87/36/8736be56d958f5d8d855108afb206c9f.jpg
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Â£18.51,In stock (1 available),09d26b5f819c6a36,Sequential Art,https://books.toscrape.com/media/cache/31/3f/313fb7d006c8c507d63ce7e96b56d925.jpg
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Â£36.52,In stock (1 available),dac9d1e654fac737,Sequential Art,https://books.toscrape.com/media/cache/2a/29/2a296946d7a2ed3829e57d6b155be43b.jpg
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Â£54.12,In stock (1 available),5faefdc861684eb1,Sequential Art,https://books.toscrape.com/media/cache/35/18/3518d80c6b73f9c76e9713af42b9c8e1.jpg
The Complete Maus (Maus #1-2),Â£10.64,In stock (1 available),3301af038a720587,Sequential Art,https://books.toscrape.com/media/cache/e5/0f/e50f35f47d84efaa739eff59b3dd4f7c.jpg
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Â£42.12,In stock (1 available),2ac720f76384c57e,Sequential Art,https://books.toscrape.com/media/cache/03/0a/030af2f71cc40b03f7d79a0929ac9c18.jpg
"Saga, Volume 1 (Saga (Collected Editions) #1)",Â£28.48,In stock (1 available),4f64568dfefa3ce7,Sequential Art,https://books.toscrape.com/media/cache/86/01/860132d9f65dd9df2143fb9071a40115.jpg
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Â£46.96,In stock (1 available),3cdca3b4a93980f5,Sequential Art,https://books.toscrape.com/media/cache/70/da/70daa09e4ddebe1d60f50720c0b49976.jpg
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Â£21.71,In stock (1 available),bcbcbcf0f6ed196f,Sequential Art,https://books.toscrape.com/media/cache/87/b3/87b3b5ff42301d1c7eeb0c81055f1633.jpg
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Â£29.87,In stock (1 available),326825e02a198cf6,Sequential Art,https://books.toscrape.com/media/cache/27/33/27334267037a79caed4d7b0092d59fb5.jpg
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Â£39.39,In stock (1 available),35a60467893aa168,Sequential Art,https://books.toscrape.com/media/cache/99/f5/99f511d2d38ef356701341d405a1cca2.jpg
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Â£45.24,In stock (1 available),6fe02600f322a0a9,Sequential Art,https://books.toscrape.com/media/cache/66/97/6697a03eedbac77c2e957788e48b70a8.jpg
"Giant Days, Vol. 1 (Giant Days #1-4)",Â£56.76,In stock (1 available),eb0fe24bbc845ecc,Sequential Art,https://books.toscrape.com/media/cache/eb/20/eb2063bd8d636cb8200c4b2c7cb6c773.jpg
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Â£40.28,In stock (1 available),72e6fbf4f6382557,Sequential Art,https://books.toscrape.com/media/cache/03/c5/03c51e2b5bf51a3f55deecbf8c9e8515.jpg
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Â£34.65,In stock (1 available),099fae4a0705d63b,Sequential Art,https://books.toscrape.com/media/cache/48/b0/48b07e2daa02d7e5485aa546dec5a25e.jpg
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Â£57.06,In stock (1 available),bfd5e1701c862ac3,Sequential Art,https://books.toscrape.com/media/cache/30/98/309814b6eeba469f4c741147aaaa076a.jpg
